"HolderAddress","Quantity","PendingBalanceUpdate"
"0x9992dbb5eeff88b949b148bdfcefb023ee3045dd","3","No"
"0xa387c87102fc0b51939d0cf9a86f7edd05291d5c","3","No"
"0x52de8b421f596edaf028b1ffcb92ec61cb9622a4","3","No"
"0xa9a3d92c3aa8cfda6c5139ece02401432b91cbb2","3","No"
"0x37098004b5ebc947177988f39c2f0c3f6af6a0c8","3","No"
"0x89cde45773f159d8db350183814e6a2300f6dd0f","3","No"
"0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe","3","No"
"0x15f975952471083794791f0e0c819e6594bc5345","3","No"
"0x95572b4aecb6a381cfd0ec9d1162ac5cb8611151","3","No"
"0x985a12342a07627a92d3927e44476c3bb0a1302d","3","No"
"0x713c2827ea6524386e728cac05c7709b7ebe1e01","3","No"
"0xd1962482cf2667d451185fac94c451b7a074b0b6","3","No"
"0x18752a39ab64c2377efa9a8d5b548a24aafee4c8","3","No"
"0x8db2ba0ff09b994feec57db10141c36f02440101","3","No"
